,match_id,match_date,player,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
42555,20050528-M-Roland_Garros-R32-Marat_Safin-Juan_Carlos_Ferrero,2005-05-28,Juan Carlos Ferrero,1,83,50,40,25,11,7,115,41,27,12,14,37,14,22
42564,20050527-M-Roland_Garros-R32-Roger_Federer-Fernando_Gonzalez,2005-05-27,Roger Federer,1,61,47,32,21,3,1,112,45,36,12,11,30,13,16
42565,20050527-M-Roland_Garros-R32-Roger_Federer-Fernando_Gonzalez,2005-05-27,Fernando Gonzalez,6,61,42,51,25,8,3,93,25,26,17,5,42,24,12
42572,20050515-M-Hamburg_Masters-F-Roger_Federer-Richard_Gasquet,2005-05-15,Roger Federer,4,66,50,45,32,5,5,88,26,37,22,11,41,14,23
42573,20050515-M-Hamburg_Masters-F-Roger_Federer-Richard_Gasquet,2005-05-15,Richard Gasquet,3,50,39,38,23,3,1,111,29,19,10,9,33,12,18
42580,20050514-M-Hamburg_Masters-SF-Roger_Federer-Nikolay_Davydenko,2005-05-14,Roger Federer,0,38,26,24,16,6,5,47,20,20,11,9,22,18,4
42581,20050514-M-Hamburg_Masters-SF-Roger_Federer-Nikolay_Davydenko,2005-05-14,Nikolay Davydenko,2,30,17,17,10,3,0,62,20,15,8,7,16,5,9
42586,20050514-M-Hamburg_Masters-SF-Richard_Gasquet-Christophe_Rochus,2005-05-14,Richard Gasquet,1,37,26,20,9,7,6,41,27,22,7,12,18,8,9
42587,20050514-M-Hamburg_Masters-SF-Richard_Gasquet-Christophe_Rochus,2005-05-14,Christophe Rochus,3,21,8,20,6,11,5,57,22,7,4,3,21,10,8
42592,20050511-M-Hamburg_Masters-R32-Tomas_Berdych-Roger_Federer,2005-05-11,Tomas Berdych,2,22,11,18,6,7,2,41,11,5,3,0,17,6,9
42593,20050511-M-Hamburg_Masters-R32-Tomas_Berdych-Roger_Federer,2005-05-11,Roger Federer,0,26,22,15,8,1,1,40,23,23,13,6,11,5,6
42598,20050508-M-Rome_Masters-F-Rafael_Nadal-Guillermo_Coria,2005-05-08,Rafael Nadal,3,118,69,58,27,17,8,202,94,60,46,13,79,42,34
42599,20050508-M-Rome_Masters-F-Rafael_Nadal-Guillermo_Coria,2005-05-08,Guillermo Coria,7,148,85,54,23,20,11,176,80,61,37,21,87,52,28
42610,20050507-M-Rome_Masters-SF-Andre_Agassi-Guillermo_Coria,2005-05-07,Andre Agassi,3,41,25,35,12,10,5,68,25,27,19,5,42,22,17
42611,20050507-M-Rome_Masters-SF-Andre_Agassi-Guillermo_Coria,2005-05-07,Guillermo Coria,3,50,37,18,6,6,2,76,39,21,13,5,17,7,7
42616,20050505-M-Rome_Masters-R16-Andy_Roddick-Fernando_Verdasco,2005-05-05,Andy Roddick,0,87,61,34,13,13,9,118,40,31,15,4,42,23,19
42617,20050505-M-Rome_Masters-R16-Andy_Roddick-Fernando_Verdasco,2005-05-05,Fernando Verdasco,2,88,67,30,11,14,11,121,47,57,32,12,50,28,20
42624,20050503-M-Rome_Masters-R64-Guillermo_Coria-Fernando_Gonzalez,2005-05-03,Guillermo Coria,2,68,54,35,19,4,3,129,44,31,18,5,20,11,7
42625,20050503-M-Rome_Masters-R64-Guillermo_Coria-Fernando_Gonzalez,2005-05-03,Fernando Gonzalez,7,71,56,58,29,11,10,103,30,63,37,12,46,28,11
42632,20050417-M-Monte_Carlo_Masters-F-Rafael_Nadal-Guillermo_Coria,2005-04-17,Rafael Nadal,0,88,51,32,18,16,11,110,53,27,21,4,42,26,16
42633,20050417-M-Monte_Carlo_Masters-F-Rafael_Nadal-Guillermo_Coria,2005-04-17,Guillermo Coria,3,63,40,47,17,20,13,120,51,34,23,10,59,33,23
42642,20050416-M-Monte_Carlo_Masters-SF-Juan_Carlos_Ferrero-Guillermo_Coria,2005-04-16,Juan Carlos Ferrero,0,45,20,15,8,10,5,58,22,13,9,4,34,16,18
42643,20050416-M-Monte_Carlo_Masters-SF-Juan_Carlos_Ferrero-Guillermo_Coria,2005-04-16,Guillermo Coria,2,41,29,17,7,4,2,60,32,15,9,3,18,10,6
42648,20050415-M-Monte_Carlo_Masters-QF-Roger_Federer-Richard_Gasquet,2005-04-15,Roger Federer,1,70,45,42,19,8,2,113,49,35,16,13,34,18,15
42649,20050415-M-Monte_Carlo_Masters-QF-Roger_Federer-Richard_Gasquet,2005-04-15,Richard Gasquet,3,63,37,50,27,8,4,112,48,32,18,10,33,10,20
42656,20050411-M-Monte_Carlo_Masters-R64-Roger_Federer-Greg_Rusedski,2005-04-11,Roger Federer,1,26,19,20,12,1,0,61,33,22,16,5,19,11,7
42657,20050411-M-Monte_Carlo_Masters-R64-Roger_Federer-Greg_Rusedski,2005-04-11,Greg Rusedski,3,31,16,30,12,14,9,46,15,10,5,1,24,17,4
42662,20050403-M-Miami_Masters-F-Roger_Federer-Rafael_Nadal,2005-04-03,Roger Federer,9,90,67,61,30,9,4,156,60,60,38,12,71,40,22
42663,20050403-M-Miami_Masters-F-Roger_Federer-Rafael_Nadal,2005-04-03,Rafael Nadal,4,100,64,56,32,13,6,151,54,36,17,14,50,22,24
42674,20050331-M-Miami_Masters-QF-Tim_Henman-Roger_Federer,2005-03-31,Tim Henman,1,29,18,20,11,6,3,49,12,15,7,3,15,5,9
42675,20050331-M-Miami_Masters-QF-Tim_Henman-Roger_Federer,2005-03-31,Roger Federer,0,32,24,17,13,1,1,49,20,23,17,2,15,8,7
42680,20050329-M-Miami_Masters-R16-Roger_Federer-Mario_Ancic,2005-03-29,Roger Federer,2,50,39,26,14,5,2,82,33,32,17,8,20,7,11
42681,20050329-M-Miami_Masters-R16-Roger_Federer-Mario_Ancic,2005-03-29,Mario Ancic,3,48,35,34,14,5,1,76,23,19,8,3,23,7,13
42688,20050328-M-Miami_Masters-R64-Olivier_Rochus-Roger_Federer,2005-03-28,Olivier Rochus,4,39,17,36,20,12,8,39,7,10,5,4,22,12,6
42689,20050328-M-Miami_Masters-R64-Olivier_Rochus-Roger_Federer,2005-03-28,Roger Federer,1,24,21,15,11,0,0,75,38,36,15,9,16,5,10
42694,20050326-M-Miami_Masters-SF-Roger_Federer-Andre_Agassi,2005-03-26,Roger Federer,2,42,31,24,16,5,5,60,23,29,12,9,21,11,8
42695,20050326-M-Miami_Masters-SF-Roger_Federer-Andre_Agassi,2005-03-26,Andre Agassi,1,30,22,30,15,8,6,66,19,13,7,6,18,5,12
42700,20050320-M-Indian_Wells_Masters-F-Lleyton_Hewitt-Roger_Federer,2005-03-20,Lleyton Hewitt,7,45,29,49,24,15,10,84,24,15,6,4,36,14,15
42701,20050320-M-Indian_Wells_Masters-F-Lleyton_Hewitt-Roger_Federer,2005-03-20,Roger Federer,3,48,39,36,21,7,6,94,41,41,18,9,36,13,20
42708,20050319-M-Indian_Wells_Masters-SF-Lleyton_Hewitt-Andy_Roddick,2005-03-19,Lleyton Hewitt,0,64,51,52,33,7,6,123,39,44,20,12,24,14,10
42709,20050319-M-Indian_Wells_Masters-SF-Lleyton_Hewitt-Andy_Roddick,2005-03-19,Andy Roddick,1,75,61,48,23,9,8,116,32,51,14,8,44,24,19
42716,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,2005-03-18,Roger Federer,2,34,22,22,13,2,1,47,23,23,11,5,19,11,6
42717,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,2005-03-18,Guillermo Canas,2,27,14,20,10,9,5,56,21,10,6,2,17,7,8
42722,20050316-M-Indian_Wells_Masters-QF-Roger_Federer-Nicolas_Kiefer,2005-03-16,Roger Federer,1,26,20,16,8,2,0,52,29,21,10,4,15,8,6
42723,20050316-M-Indian_Wells_Masters-QF-Roger_Federer-Nicolas_Kiefer,2005-03-16,Nicolas Kiefer,2,32,16,20,7,7,2,42,14,9,5,3,19,10,7
42728,20050315-M-Indian_Wells_Masters-R16-Ivan_Ljubicic-Roger_Federer,2005-03-15,Ivan Ljubicic,1,48,34,34,21,1,1,68,12,26,8,6,24,14,9
42729,20050315-M-Indian_Wells_Masters-R16-Ivan_Ljubicic-Roger_Federer,2005-03-15,Roger Federer,2,48,43,20,13,0,0,82,27,31,15,9,16,12,2
42734,20050314-M-Indian_Wells_Masters-R32-Fernando_Gonzalez-James_Blake,2005-03-14,Fernando Gonzalez,15,53,32,60,27,18,13,79,35,33,20,6,44,25,4
42735,20050314-M-Indian_Wells_Masters-R32-Fernando_Gonzalez-James_Blake,2005-03-14,James Blake,4,45,29,34,15,10,6,113,54,25,16,7,20,11,5
42742,20050313-M-Indian_Wells_Masters-R32-Roger_Federer-Gilles_Muller,2005-03-13,Roger Federer,1,36,28,25,12,3,2,80,40,26,9,6,16,6,9
42743,20050313-M-Indian_Wells_Masters-R32-Roger_Federer-Gilles_Muller,2005-03-13,Gilles Muller,6,50,35,30,5,16,12,61,21,23,11,7,36,16,14
42748,20050309-M-Indian_Wells_Masters-R64-Mardy_Fish-Roger_Federer,2005-03-09,Mardy Fish,5,24,16,32,13,5,1,50,15,20,14,5,21,9,7
42749,20050309-M-Indian_Wells_Masters-R64-Mardy_Fish-Roger_Federer,2005-03-09,Roger Federer,0,31,21,19,14,2,1,56,27,25,15,9,14,5,9
42754,20050304-M-Davis_Cup_World_Group_R1-RR-Marat_Safin-Adrian_Garcia,2005-03-04,Marat Safin,1,61,52,46,28,2,0,121,45,37,5,7,39,23,15
42755,20050304-M-Davis_Cup_World_Group_R1-RR-Marat_Safin-Adrian_Garcia,2005-03-04,Adrian Garcia,11,65,47,56,29,8,4,107,27,36,18,8,49,27,11
42764,20050226-M-Dubai-F-Roger_Federer-Ivan_Ljubicic,2005-02-26,Roger Federer,2,64,44,38,24,7,5,89,37,26,11,9,26,13,11
42765,20050226-M-Dubai-F-Roger_Federer-Ivan_Ljubicic,2005-02-26,Ivan Ljubicic,0,49,38,40,14,7,2,102,34,24,6,13,35,14,21
42772,20050226-M-Acapulco-F-Rafael_Nadal-Albert_Montanes,2005-02-26,Rafael Nadal,2,28,24,8,4,0,0,36,22,23,16,2,9,7,0
42773,20050226-M-Acapulco-F-Rafael_Nadal-Albert_Montanes,2005-02-26,Albert Montanes,1,24,12,12,2,9,4,36,8,10,7,3,14,10,3
42778,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,2005-02-21,Roger Federer,3,33,25,18,11,3,3,41,21,20,10,3,19,7,9
42779,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,2005-02-21,Andre Agassi,1,23,10,18,10,6,2,51,15,4,2,1,17,8,8
42784,20050220-M-Rotterdam-F-Roger_Federer-Ivan_Ljubicic,2005-02-20,Roger Federer,2,68,58,29,17,3,2,131,44,46,17,17,33,18,13
42785,20050220-M-Rotterdam-F-Roger_Federer-Ivan_Ljubicic,2005-02-20,Ivan Ljubicic,3,88,66,43,21,6,5,97,22,30,11,5,26,12,11
42792,20050130-M-Australian_Open-F-Lleyton_Hewitt-Marat_Safin,2005-01-30,Lleyton Hewitt,3,60,43,63,33,11,7,110,37,36,16,7,21,7,11
42793,20050130-M-Australian_Open-F-Lleyton_Hewitt-Marat_Safin,2005-01-30,Marat Safin,1,66,48,44,25,8,5,123,47,56,20,13,40,16,23
42802,20050128-M-Australian_Open-SF-Andy_Roddick-Lleyton_Hewitt,2005-01-28,Andy Roddick,9,75,61,59,25,12,9,135,41,68,22,9,56,25,22
42803,20050128-M-Australian_Open-SF-Andy_Roddick-Lleyton_Hewitt,2005-01-28,Lleyton Hewitt,7,83,69,52,25,8,6,134,48,51,21,10,24,11,6
42812,20050127-M-Australian_Open-SF-Roger_Federer-Marat_Safin,2005-01-27,Roger Federer,8,107,88,81,41,13,9,207,72,76,26,22,48,24,16
42813,20050127-M-Australian_Open-SF-Roger_Federer-Marat_Safin,2005-01-27,Marat Safin,1,122,90,85,45,14,10,188,59,70,24,17,55,22,32
42824,20050126-M-Australian_Open-QF-Roger_Federer-Andre_Agassi,2005-01-26,Roger Federer,4,66,51,33,20,4,4,79,28,42,13,7,30,7,19
42825,20050126-M-Australian_Open-QF-Roger_Federer-Andre_Agassi,2005-01-26,Andre Agassi,2,44,33,35,18,6,3,99,28,13,11,1,24,9,13
42832,20050126-M-Australian_Open-QF-Lleyton_Hewitt-David_Nalbandian,2005-01-26,Lleyton Hewitt,6,79,58,78,40,12,6,154,60,51,21,9,53,24,23
42833,20050126-M-Australian_Open-QF-Lleyton_Hewitt-David_Nalbandian,2005-01-26,David Nalbandian,4,96,68,58,26,16,10,157,59,38,20,12,63,21,38
42844,20050120-M-Australian_Open-R64-Lleyton_Hewitt-James_Blake,2005-01-20,Lleyton Hewitt,7,65,54,44,20,5,2,136,60,31,13,8,37,17,13
42845,20050120-M-Australian_Open-R64-Lleyton_Hewitt-James_Blake,2005-01-20,James Blake,7,74,46,62,30,16,9,109,35,32,15,6,58,30,21
42854,20050119-M-Australian_Open-R64-Roger_Federer-Takao_Suzuki,2005-01-19,Roger Federer,0,62,48,22,14,4,3,105,45,51,29,11,13,7,6
42855,20050119-M-Australian_Open-R64-Roger_Federer-Takao_Suzuki,2005-01-19,Takao Suzuki,3,72,40,33,20,11,7,84,22,29,12,8,23,12,8
42862,20050119-M-Australian_Open-R64-Bohdan_Ulihrach-Marat_Safin,2005-01-19,Bohdan Ulihrach,5,46,26,36,17,9,3,67,17,13,6,2,25,15,5
42863,20050119-M-Australian_Open-R64-Bohdan_Ulihrach-Marat_Safin,2005-01-19,Marat Safin,0,40,34,27,16,1,0,82,39,38,16,9,26,14,12
42870,20050117-M-Australian_Open-R128-Roger_Federer-Fabrice_Santoro,2005-01-17,Roger Federer,1,36,29,16,9,2,2,88,49,50,29,13,20,10,9
42871,20050117-M-Australian_Open-R128-Roger_Federer-Fabrice_Santoro,2005-01-17,Fabrice Santoro,2,59,26,29,13,18,11,52,14,7,2,4,18,8,8
42878,20050117-M-Australian_Open-R128-Novak_Djokovic-Marat_Safin,2005-01-17,Novak Djokovic,5,39,16,27,5,13,4,51,13,4,1,1,31,18,8
42879,20050117-M-Australian_Open-R128-Novak_Djokovic-Marat_Safin,2005-01-17,Marat Safin,1,27,25,24,13,1,0,66,45,23,11,4,19,9,9
42886,20050114-M-Australian_Open-R16-Lleyton_Hewitt-Rafael_Nadal,2005-01-14,Lleyton Hewitt,6,74,57,72,37,18,12,160,60,63,31,10,66,36,24
42887,20050114-M-Australian_Open-R16-Lleyton_Hewitt-Rafael_Nadal,2005-01-14,Rafael Nadal,3,112,72,48,28,17,12,146,52,44,31,8,57,31,23
42898,20050108-M-Doha-F-Roger_Federer-Ivan_Ljubicic,2005-01-08,Roger Federer,0,31,24,13,9,3,3,51,26,17,11,3,10,4,6
42899,20050108-M-Doha-F-Roger_Federer-Ivan_Ljubicic,2005-01-08,Ivan Ljubicic,1,32,14,19,11,9,5,44,11,9,5,4,26,10,15
42904,20041203-M-Davis_Cup_World_Group_F-RR-Andy_Roddick-Rafael_Nadal,2004-12-03,Andy Roddick,8,90,58,72,30,18,12,138,46,57,29,13,60,34,18
42905,20041203-M-Davis_Cup_World_Group_F-RR-Andy_Roddick-Rafael_Nadal,2004-12-03,Rafael Nadal,3,110,75,28,17,6,4,162,74,72,44,25,43,24,16
42914,20041121-M-Masters_Cup-SF-Roger_Federer-Marat_Safin,2004-11-21,Roger Federer,0,50,39,31,19,3,2,86,30,30,14,7,26,12,14
42915,20041121-M-Masters_Cup-SF-Roger_Federer-Marat_Safin,2004-11-21,Marat Safin,2,56,42,30,14,6,4,81,23,24,9,8,33,16,15
42920,20041121-M-Masters_Cup-F-Roger_Federer-Lleyton_Hewitt,2004-11-21,Roger Federer,0,30,26,17,10,0,0,55,26,27,14,4,12,4,8
42921,20041121-M-Masters_Cup-F-Roger_Federer-Lleyton_Hewitt,2004-11-21,Lleyton Hewitt,3,29,15,26,14,8,5,47,11,8,5,2,12,4,5
42926,20041120-M-Masters_Cup-SF-Lleyton_Hewitt-Andy_Roddick,2004-11-20,Lleyton Hewitt,1,21,18,24,19,0,0,44,20,14,7,4,5,2,2
42927,20041120-M-Masters_Cup-SF-Lleyton_Hewitt-Andy_Roddick,2004-11-20,Andy Roddick,1,29,18,15,6,6,3,45,8,17,5,1,28,12,15
42932,20041119-M-Masters_Cup-RR-Lleyton_Hewitt-Gaston_Gaudio,2004-11-19,Lleyton Hewitt,1,22,19,23,15,1,1,48,26,20,8,6,9,4,4
42933,20041119-M-Masters_Cup-RR-Lleyton_Hewitt-Gaston_Gaudio,2004-11-19,Gaston Gaudio,5,30,19,18,3,6,2,45,11,11,3,6,23,5,13
42938,20041118-M-Masters_Cup-RR-Roger_Federer-Carlos_Moya,2004-11-18,Roger Federer,2,62,46,26,13,9,8,87,31,39,23,7,33,22,9
42939,20041118-M-Masters_Cup-RR-Roger_Federer-Carlos_Moya,2004-11-18,Carlos Moya,5,58,43,29,13,8,6,88,29,22,8,5,26,9,12
42946,20041118-M-Masters_Cup-RR-Andy_Roddick-Marat_Safin,2004-11-18,Andy Roddick,2,60,49,32,17,7,6,87,26,47,18,3,25,9,14
42947,20041118-M-Masters_Cup-RR-Andy_Roddick-Marat_Safin,2004-11-18,Marat Safin,1,53,42,34,19,3,2,92,26,38,12,8,22,10,11
42952,20041117-M-Masters_Cup-RR-Roger_Federer-Lleyton_Hewitt,2004-11-17,Roger Federer,0,39,28,24,17,3,3,60,24,23,13,3,19,9,10
42953,20041117-M-Masters_Cup-RR-Roger_Federer-Lleyton_Hewitt,2004-11-17,Lleyton Hewitt,2,39,27,21,9,6,4,63,18,13,5,1,24,14,8
42958,20041116-M-Masters_Cup-RR-Lleyton_Hewitt-Carlos_Moya,2004-11-16,Lleyton Hewitt,2,55,47,27,18,0,0,110,41,40,14,8,26,12,12
42959,20041116-M-Masters_Cup-RR-Lleyton_Hewitt-Carlos_Moya,2004-11-16,Carlos Moya,3,64,41,46,28,11,8,82,17,33,18,2,39,22,14
42966,20041115-M-Masters_Cup-RR-Marat_Safin-Guillermo_Coria,2004-11-15,Marat Safin,0,26,23,20,13,0,0,42,18,21,6,6,18,10,8
42967,20041115-M-Masters_Cup-RR-Marat_Safin-Guillermo_Coria,2004-11-15,Guillermo Coria,3,31,19,11,5,4,1,46,10,5,1,3,16,7,6
42972,20041115-M-Masters_Cup-RR-Andy_Roddick-Tim_Henman,2004-11-15,Andy Roddick,1,44,36,33,21,2,2,72,22,34,9,14,12,7,4
42973,20041115-M-Masters_Cup-RR-Andy_Roddick-Tim_Henman,2004-11-15,Tim Henman,2,49,40,23,10,1,0,77,20,23,14,7,11,7,2
42978,20041106-M-Paris_Masters-SF-Max_Mirnyi-Radek_Stepanek,2004-11-06,Max Mirnyi,4,59,45,42,22,1,0,90,25,40,16,8,17,4,9
42979,20041106-M-Paris_Masters-SF-Max_Mirnyi-Radek_Stepanek,2004-11-06,Radek Stepanek,6,61,50,29,15,2,1,101,34,48,22,13,23,7,10
42986,20041106-M-Paris_Masters-SF-Marat_Safin-Guillermo_Canas,2004-11-06,Marat Safin,3,30,26,34,19,2,1,62,25,29,11,11,28,16,9
42987,20041106-M-Paris_Masters-SF-Marat_Safin-Guillermo_Canas,2004-11-06,Guillermo Canas,0,32,21,30,16,7,4,64,19,16,9,3,19,11,8
42992,20041101-M-Paris_Masters-QF-Lleyton_Hewitt-Marat_Safin,2004-11-01,Lleyton Hewitt,4,30,22,36,19,2,0,79,25,20,10,5,20,8,8
42993,20041101-M-Paris_Masters-QF-Lleyton_Hewitt-Marat_Safin,2004-11-01,Marat Safin,1,46,37,33,17,6,5,66,25,35,14,11,31,15,15
42998,20041030-M-Basel-F-Jiri_Novak-David_Nalbandian,2004-10-30,Jiri Novak,1,69,47,35,17,7,4,108,45,32,12,16,30,15,14
42999,20041030-M-Basel-F-Jiri_Novak-David_Nalbandian,2004-10-30,David Nalbandian,0,74,48,34,15,12,7,104,40,46,26,13,45,25,20
43000,20041027-M-Basel-R32-Rainer_Schuettler-Rafael_Nadal,2004-10-27,Rainer Schuettler,2,30,23,34,19,7,5,66,31,28,14,10,24,11,11
43001,20041027-M-Basel-R32-Rainer_Schuettler-Rafael_Nadal,2004-10-27,Rafael Nadal,3,43,26,23,9,8,4,64,22,18,13,4,28,12,13
43006,20041026-M-St_Petersburg-R32-Sargis_Sargsian-Irakli_Labadze,2004-10-26,Sargis Sargsian,3,50,37,32,16,5,3,70,33,21,5,9,24,10,11
43007,20041026-M-St_Petersburg-R32-Sargis_Sargsian-Irakli_Labadze,2004-10-26,Irakli Labadze,7,43,27,27,10,8,3,82,29,18,12,2,36,19,10
43014,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,2004-10-25,Karol Beck,3,30,15,30,15,7,3,38,6,7,3,3,30,14,13
43015,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,2004-10-25,Mikhail Youzhny,0,28,23,10,9,0,0,60,30,17,5,8,10,5,5
43020,20041023-M-Madrid_Masters-SF-Marat_Safin-Andre_Agassi,2004-10-23,Marat Safin,2,38,33,34,20,4,4,78,30,31,13,6,24,10,12
43021,20041023-M-Madrid_Masters-SF-Marat_Safin-Andre_Agassi,2004-10-23,Andre Agassi,2,38,31,40,17,7,6,72,19,15,8,2,22,14,6
43026,20041023-M-Madrid_Masters-SF-Ivan_Ljubicic-David_Nalbandian,2004-10-23,Ivan Ljubicic,3,36,31,17,5,4,2,60,15,24,8,4,18,8,7
43027,20041023-M-Madrid_Masters-SF-Ivan_Ljubicic-David_Nalbandian,2004-10-23,David Nalbandian,0,31,23,29,22,5,5,53,17,24,13,8,11,5,6
43032,20041017-M-Moscow-F-Greg_Rusedski-Nikolay_Davydenko,2004-10-17,Greg Rusedski,4,59,44,35,16,11,8,83,25,40,16,5,32,17,11
43033,20041017-M-Moscow-F-Greg_Rusedski-Nikolay_Davydenko,2004-10-17,Nikolay Davydenko,2,69,50,14,8,5,3,94,34,28,17,9,17,9,6
43040,20041003-M-Bangkok-F-Andy_Roddick-Roger_Federer,2004-10-03,Andy Roddick,2,39,24,17,5,8,4,49,15,13,4,1,19,11,6
43041,20041003-M-Bangkok-F-Andy_Roddick-Roger_Federer,2004-10-03,Roger Federer,2,29,21,20,13,2,2,56,27,31,17,3,17,9,6
43046,20041002-M-Bangkok-SF-Andy_Roddick-Marat_Safin,2004-10-02,Andy Roddick,5,70,54,48,31,1,1,105,26,33,11,4,41,16,20
43047,20041002-M-Bangkok-SF-Andy_Roddick-Marat_Safin,2004-10-02,Marat Safin,1,63,54,42,25,1,1,118,33,48,19,11,27,18,8
43054,20041001-M-Bangkok-QF-Roger_Federer-Robin_Soderling,2004-10-01,Roger Federer,1,33,29,25,11,2,1,69,29,29,11,3,22,11,10
43055,20041001-M-Bangkok-QF-Roger_Federer-Robin_Soderling,2004-10-01,Robin Soderling,4,42,28,27,12,3,1,58,18,11,6,2,25,10,11
43060,20040930-M-Bangkok-R16-Ivo_Heuberger-Roger_Federer,2004-09-30,Ivo Heuberger,1,26,14,20,6,7,2,43,11,9,5,1,23,10,12
43061,20040930-M-Bangkok-R16-Ivo_Heuberger-Roger_Federer,2004-09-30,Roger Federer,1,23,19,20,13,3,2,46,26,21,12,3,12,3,8
43066,20040929-M-Bangkok-R32-Nicolas_Thomann-Roger_Federer,2004-09-29,Nicolas Thomann,3,44,33,41,21,10,9,64,17,21,10,5,31,16,12
43067,20040929-M-Bangkok-R32-Nicolas_Thomann-Roger_Federer,2004-09-29,Roger Federer,2,42,35,22,12,2,2,85,31,28,12,4,26,13,11
43072,20040912-M-US_Open-F-Lleyton_Hewitt-Roger_Federer,2004-09-12,Lleyton Hewitt,5,41,23,34,12,13,6,89,29,10,4,5,29,17,7
43073,20040912-M-US_Open-F-Lleyton_Hewitt-Roger_Federer,2004-09-12,Roger Federer,1,49,38,40,22,6,5,75,40,38,24,2,29,15,13
43080,20040911-M-US_Open-SF-Roger_Federer-Tim_Henman,2004-09-11,Roger Federer,2,53,40,31,20,4,2,74,28,30,11,12,22,13,7
43081,20040911-M-US_Open-SF-Roger_Federer-Tim_Henman,2004-09-11,Tim Henman,1,45,28,29,18,7,2,84,24,21,11,6,25,11,13
43088,20040911-M-US_Open-SF-Lleyton_Hewitt-Joachim_Johansson,2004-09-11,Lleyton Hewitt,2,57,47,31,21,1,1,99,41,27,9,8,15,9,4
43089,20040911-M-US_Open-SF-Lleyton_Hewitt-Joachim_Johansson,2004-09-11,Joachim Johansson,4,61,43,38,15,5,2,88,20,38,15,2,48,25,19
43096,20040909-M-US_Open-QF-Roger_Federer-Andre_Agassi,2004-09-09,Roger Federer,9,100,74,58,28,9,6,142,46,53,24,8,68,31,28
43097,20040909-M-US_Open-QF-Roger_Federer-Andre_Agassi,2004-09-09,Andre Agassi,4,97,69,45,27,10,7,158,56,30,21,2,36,20,12
43108,20040909-M-US_Open-QF-Lleyton_Hewitt-Tommy_Haas,2004-09-09,Lleyton Hewitt,2,41,30,25,16,5,3,77,43,29,14,12,15,4,9
43109,20040909-M-US_Open-QF-Lleyton_Hewitt-Tommy_Haas,2004-09-09,Tommy Haas,3,56,29,21,5,14,6,66,20,21,11,8,32,20,9
43116,20040909-M-US_Open-QF-Andy_Roddick-Joachim_Johansson,2004-09-09,Andy Roddick,5,74,63,43,27,5,2,162,61,55,11,3,18,6,7
43117,20040909-M-US_Open-QF-Andy_Roddick-Joachim_Johansson,2004-09-09,Joachim Johansson,6,99,74,63,27,15,12,117,27,65,28,2,63,31,26
43128,20040904-M-US_Open-R32-Andy_Roddick-Guillermo_Canas,2004-09-04,Andy Roddick,0,49,43,20,11,5,5,91,41,46,20,2,18,12,6
43129,20040904-M-US_Open-R32-Andy_Roddick-Guillermo_Canas,2004-09-04,Guillermo Canas,7,58,40,33,10,14,9,69,15,23,14,5,24,13,4
43137,20040902-M-US_Open-R64-Rafael_Nadal-Andy_Roddick,2004-09-02,Rafael Nadal,4,61,30,13,3,11,4,74,24,16,8,8,33,17,12
43138,20040902-M-US_Open-R64-Rafael_Nadal-Andy_Roddick,2004-09-02,Andy Roddick,3,45,31,29,19,4,3,74,41,24,13,1,22,13,6
43144,20040822-M-Olympics-F-Nicolas_Massu-Mardy_Fish,2004-08-22,Nicolas Massu,6,89,60,66,34,13,7,149,59,34,17,7,32,21,5
43145,20040822-M-Olympics-F-Nicolas_Massu-Mardy_Fish,2004-08-22,Mardy Fish,9,75,53,74,37,12,6,155,61,60,20,18,70,26,35
43156,20040821-M-Olympics-BR-Taylor_Dent-Fernando_Gonzalez,2004-08-21,Taylor Dent,5,122,84,42,20,17,13,155,54,56,24,19,47,18,24
43157,20040821-M-Olympics-BR-Taylor_Dent-Fernando_Gonzalez,2004-08-21,Fernando Gonzalez,9,98,76,57,25,11,7,164,60,66,37,19,36,14,13
43164,20040808-M-Cincinnati_Masters-F-Andre_Agassi-Lleyton_Hewitt,2004-08-08,Andre Agassi,1,47,36,30,17,5,4,79,28,18,5,6,26,14,11
43165,20040808-M-Cincinnati_Masters-F-Andre_Agassi-Lleyton_Hewitt,2004-08-08,Lleyton Hewitt,5,32,28,47,23,5,2,77,24,27,7,7,35,12,18
43172,20040807-M-Cincinnati_Masters-SF-Lleyton_Hewitt-Tommy_Robredo,2004-08-07,Lleyton Hewitt,0,25,22,17,14,0,0,41,17,19,7,1,8,7,1
43173,20040807-M-Cincinnati_Masters-SF-Lleyton_Hewitt-Tommy_Robredo,2004-08-07,Tommy Robredo,2,28,21,13,3,5,2,42,6,16,7,0,15,10,3
43178,20040807-M-Cincinnati_Masters-SF-Andy_Roddick-Andre_Agassi,2004-08-07,Andy Roddick,3,65,57,40,21,4,3,98,19,52,20,4,36,17,16
